"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Tennessee","TN","Total","Total","12.6","11.4","13.8","12.6 (11.4-13.8)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Texas","TX","Total","Total","9.6","8.6","10.6","9.6 (8.6-10.6)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","U.S. Virgin Islands","VI","Total","Total","5.3","3.9","6.7","5.3 (3.9-6.7)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Utah","UT","Total","Total","8.8","8.1","9.6","8.8 (8.1-9.6)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Vermont","VT","Total","Total","9.6","8.6","10.6","9.6 (8.6-10.6)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Virginia","VA","Total","Total","10.2","9.1","11.3","10.2 (9.1-11.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Washington","WA","Total","Total","10.0","9.5","10.5","10.0 (9.5-10.5)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","West Virginia","WV","Total","Total","14.9","13.6","16.2","14.9 (13.6-16.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Wisconsin","WI","Total","Total","9.3","8.5","10.0","9.3 (8.5-10.0)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Wyoming","WY","Total","Total","10.1","8.9","11.2","10.1 (8.9-11.2)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alabama","AL","Total","Total","12.2","10.9","13.5","12.2 (10.9-13.5)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alaska","AK","Total","Total","9.6","8.6","10.6","9.6 (8.6-10.6)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arizona","AZ","Total","Total","10.3","9.3","11.3","10.3 (9.3-11.3)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arkansas","AR","Total","Total","13.2","12","14.5","13.2 (12-14.5)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","California","CA","Total","Total","9.3","8.5","10.1","9.3 (8.5-10.1)",,
